"genes","logFC","logCPM","LR","PValue","FDR"
"ENSDARG00000098736",2.07381634908452,0.442170772536158,44.100555489261,3.11932407574704e-11,1.13632013518435e-08
"ENSDARG00000052705",-0.863562199854814,3.82910548349506,44.0130884735926,3.26187390033011e-11,1.17489765868407e-08
"ENSDARG00000037618",0.857955132230694,5.15632408834344,43.8231829866489,3.59422295632521e-11,1.28022228123241e-08
"ENSDARG00000010572",0.811884068685611,3.64055220010555,43.6445970360705,3.93762734717157e-11,1.38712659195911e-08
"ENSDARG00000097157",2.05244866703095,5.69727915002624,43.3820433026386,4.50301505879869e-11,1.56905601891206e-08
"ENSDARG00000037527",2.23574383593536,-0.0210200460486916,43.2639473844783,4.78316008161276e-11,1.64875013694904e-08
"ENSDARG00000040432",-0.652747571841807,4.71941424488248,42.4036593201589,7.42509876198755e-11,2.52794696917312e-08
"ENSDARG00000102706",0.895301404340474,3.38041175550441,42.3862469474623,7.49149833332647e-11,2.52794696917312e-08
"ENSDARG00000006588",1.96696221116242,8.45347631384751,42.3103224434127,7.78804175195934e-11,2.60063806711001e-08
"ENSDARG00000104642",1.63790332759317,4.6851726088699,41.9438170125408,9.39339371504508e-11,3.1043713641567e-08
"ENSDARG00000003820",0.674195998764213,6.51546144259144,41.6369319322849,1.09897516631659e-10,3.59488233740928e-08
"ENSDARG00000100697",1.09141480582208,7.15134573335873,41.4403784823271,1.21521196116527e-10,3.9349545291995e-08
"ENSDARG00000036833",1.01348372583509,3.64954904086336,41.3225187141775,1.29073359905601e-10,4.13770469849384e-08
"ENSDARG00000087318",-1.55462913754492,2.27871330868307,41.298982821166,1.30636854139679e-10,4.14636201302542e-08
"ENSDARG00000096712",-1.32314285857053,4.31185255885502,41.1192886115534,1.43215986486087e-10,4.50105380272989e-08
"ENSDARG00000005565",0.854402444659009,4.12543390900214,40.7118484930795,1.76414260823675e-10,5.49059413516947e-08
"ENSDARG00000020114",0.77339124287441,4.24965439953405,40.4690513144756,1.99755173809312e-10,6.15726116038952e-08
