gene_id	f1.expected_count	f2.expected_count	f3.expected_count	f4.expected_count	f5.expected_count	f6.expected_count
ENSDARG00000002210	348.00	341.00	292.00	459.00	351.00	414.00
ENSDARG00000002213	130.00	135.00	91.00	186.00	123.00	146.00
ENSDARG00000002215	667.00	693.00	555.00	816.00	669.00	729.00
ENSDARG00000002216	450.00	579.00	408.00	583.00	423.00	519.00
ENSDARG00000002217	1391.86	1962.00	1369.00	1902.00	1503.00	1732.00
ENSDARG00000002219	135.95	145.00	156.00	228.00	192.94	202.00
ENSDARG00000002220	487.00	521.00	413.00	623.00	527.00	586.00
ENSDARG00000002230	4448.00	5870.00	4405.00	6387.00	5014.00	5691.00
ENSDARG00000002231	78.00	76.00	63.00	103.00	52.00	101.00
ENSDARG00000002235	1711.00	1696.00	1349.00	2227.00	1952.00	1987.00
ENSDARG00000002240	2085.00	1881.00	1439.00	2275.00	2477.00	2105.00
ENSDARG00000002241	27.00	43.00	41.00	51.00	23.00	56.00
ENSDARG00000002249	767.00	785.00	634.00	1068.00	915.00	883.00
ENSDARG00000002255	481.00	767.00	499.00	653.00	482.00	596.00
ENSDARG00000002259	69.00	86.00	131.00	147.00	259.38	89.00
ENSDARG00000002264	544.00	535.00	409.00	611.00	611.00	594.00
ENSDARG00000002267	802.00	782.00	625.00	1003.00	929.00	881.00
ENSDARG00000002271	2027.00	2089.00	1771.00	3146.00	2470.00	2311.00
ENSDARG00000002285	1016.00	1107.00	737.00	1347.00	926.00	1198.00
ENSDARG00000002293	205.02	185.31	123.58	230.08	222.66	162.69
ENSDARG00000002295	35.00	61.00	36.00	43.00	36.00	50.00
ENSDARG00000002298	75.00	72.00	81.00	137.00	195.00	74.00
ENSDARG00000002299	129.00	135.00	119.00	182.00	93.00	161.00
ENSDARG00000002300	101.00	87.00	68.00	125.00	96.00	103.00
ENSDARG00000002304	238.00	206.00	118.00	192.00	113.00	239.00
ENSDARG00000002305	1971.00	2162.00	1608.00	2566.00	2104.00	2331.00
ENSDARG00000002311	449.98	459.73	298.09	373.36	449.34	511.10
ENSDARG00000002330	117.00	117.00	108.00	133.00	144.00	141.00
ENSDARG00000002332	503.00	583.00	390.00	657.00	501.00	602.00
ENSDARG00000002333	192.00	270.00	206.00	307.00	140.00	249.00
ENSDARG00000002336	845.00	921.00	767.00	1124.00	935.00	972.00
ENSDARG00000002339	335.00	375.00	273.00	395.00	419.00	396.00
ENSDARG00000002344	19919.87	20607.91	15082.00	23173.49	24642.00	21675.00
ENSDARG00000002347	2.00	3.00	0.00	2.00	2.00	1.00
ENSDARG00000002353	19.00	18.00	13.00	44.00	29.00	17.00
ENSDARG00000002355	38.00	62.00	44.00	54.00	33.00	52.00
ENSDARG00000002362	1161.00	1406.00	1142.00	1680.00	1495.00	1430.00
ENSDARG00000002365	623.00	638.00	498.00	717.00	735.00	720.00
ENSDARG00000002369	5293.26	5399.86	4556.58	7556.53	7368.42	6066.35
ENSDARG00000002377	382.00	413.00	318.00	480.00	366.00	403.00
ENSDARG00000002385	295.00	284.00	192.00	366.00	260.00	329.00
ENSDARG00000002391	355.00	353.00	325.00	444.00	528.00	389.00
ENSDARG00000002394	200.00	196.00	140.00	261.00	144.00	246.00
ENSDARG00000002396	484.00	505.00	391.00	691.00	673.00	571.00
ENSDARG00000002401	348.05	322.00	277.03	397.16	352.04	398.09
ENSDARG00000002402	539.00	596.00	500.00	665.00	595.00	669.00
ENSDARG00000002403	804.00	951.00	640.00	944.00	739.00	866.00
ENSDARG00000002405	299.00	309.00	215.00	358.00	312.00	363.00
ENSDARG00000002406	42.00	36.00	28.00	55.00	38.00	51.00
ENSDARG00000002411	154.00	191.00	113.00	213.00	128.00	225.00
ENSDARG00000002445	350.00	337.00	286.00	425.00	399.00	365.00
ENSDARG00000002463	210.00	266.00	211.00	286.00	223.00	305.00
ENSDARG00000002467	436.00	455.00	379.00	624.00	588.00	495.00
ENSDARG00000002479	464.00	514.00	318.00	538.00	399.00	554.00
ENSDARG00000002483	68.00	85.00	35.00	86.00	53.00	103.00
ENSDARG00000002487	491.00	528.00	378.00	769.00	653.00	582.00
ENSDARG00000002494	507.00	497.00	321.00	552.00	507.00	550.00
ENSDARG00000002506	961.00	986.00	774.00	1138.00	1223.00	1131.00
ENSDARG00000002507	423.80	414.56	344.65	431.45	416.59	501.64
ENSDARG00000002508	6.00	8.00	12.00	7.00	8.00	11.00
ENSDARG00000002509	37.00	32.00	34.00	60.00	60.00	48.00
ENSDARG00000002510	32.00	65.00	33.00	77.00	38.00	48.00
ENSDARG00000002523	2927.48	3025.91	2582.22	4051.62	3645.64	3311.33
ENSDARG00000002533	50.00	71.00	41.00	80.00	30.00	59.00
ENSDARG00000002536	1063.00	1192.00	869.00	1427.00	1164.00	1246.00
ENSDARG00000002538	837.00	995.00	665.00	1116.00	983.00	982.00
ENSDARG00000002546	721.00	1012.00	741.00	1036.00	737.00	847.00
ENSDARG00000002549	358.00	378.00	286.00	403.00	384.00	399.00
ENSDARG00000002552	1298.00	1467.00	1122.00	1786.00	1427.00	1590.00
ENSDARG00000002564	1025.00	1356.00	905.00	1436.00	804.00	1297.00
ENSDARG00000002571	305.00	409.00	273.00	478.00	227.00	437.00
ENSDARG00000002576	54.00	114.00	67.00	97.00	61.00	95.00
ENSDARG00000002582	516.00	559.00	437.00	690.00	636.00	633.00
ENSDARG00000002587	3844.99	5910.95	4045.98	5614.94	3451.96	4887.94
ENSDARG00000002589	64069.00	54904.00	47591.00	77513.00	91423.00	69869.00
ENSDARG00000002591	1113.00	1240.00	890.00	1335.00	1205.00	1300.00
ENSDARG00000002593	1188.00	1202.00	953.00	1359.00	1685.00	1276.00
ENSDARG00000002597	0.00	0.00	1.00	2.00	1.00	1.00
ENSDARG00000002600	391.00	691.00	448.00	708.00	225.00	577.00
ENSDARG00000002601	92.00	119.00	77.00	116.00	86.00	103.00
ENSDARG00000002607	164.00	274.00	171.00	265.00	125.00	193.00
