gene_id,f1.expected_count,f2.expected_count,f3.expected_count,f4.expected_count,f5.expected_count,f6.expected_count
ENSDARG00000003068,1043,1229,874,1353,1184,1306
ENSDARG00000003069,202,252,151,279,110,266
ENSDARG00000003077,296,294,339,399,273,249
ENSDARG00000003081,30060,28415,24332,41725,37541,32871
ENSDARG00000003084,93,152,84,138,74,114
ENSDARG00000003085,257,309,248,331,268,287
ENSDARG00000003087,821,980,745,1216,990,972
ENSDARG00000003090,0,0,0,0,0,0
ENSDARG00000003091,1139,1172,958,1612,2010,1252
ENSDARG00000003098,3426,4458,3081,4820,3628,4105
ENSDARG00000003109,946,1109,859,1301,1107,1148
ENSDARG00000003113,6699,6827,6232,10364,9291,8056
ENSDARG00000003127,1759.96,2232,1844,2799,1985,2179.96
ENSDARG00000003132,1040,829,664,1199,1224,1092
ENSDARG00000003142,333,388,307,434,353,381
ENSDARG00000003144,283,229,204,400,371,386
ENSDARG00000003146,74,135,93,151,65,123
ENSDARG00000003151,5287,5927,4621,6708,6223,6110
ENSDARG00000003153,1059,1201,831,1292,1133,1155
ENSDARG00000003157,200,245,197,269,195,240
ENSDARG00000003165,1093,1317,985,1525,1340,1331
ENSDARG00000003167,601.76,742.38,496.63,786.06,723.16,757.32
ENSDARG00000003169,1681,2538,1772,2724,1676,2087
ENSDARG00000003175,680,669,515,832,801,747
ENSDARG00000003181,91,85,63,109,128,100
ENSDARG00000003189,2774,3369,2404,3938,3076,3355
ENSDARG00000003193,385,430,362,554,619,452
ENSDARG00000003197,46.39,51.87,38.18,46.27,37.92,59.36
ENSDARG00000003200,342.23,357.85,260,382.94,314.99,376.96
ENSDARG00000003203,536,600,1090,1676,2832,642
ENSDARG00000003205,470,540,421,731,624,581
ENSDARG00000003206,398,452,362,561,518,461
ENSDARG00000003207,263,253,242,430,369,293
ENSDARG00000003208,314,359,262,403,381,372
ENSDARG00000003210,174,211,134,230,121,180
ENSDARG00000003213,2114,2299,1751,2971,2353,2445
ENSDARG00000003216,5747,5572,2913,5668,5466,6264
ENSDARG00000003217,405,426.1,330.62,561.09,464.58,517.11
ENSDARG00000003219,804,788,681,991,715,1004
ENSDARG00000003229,0,2,0,0,0,0
ENSDARG00000003235,546,594,419,694,545,643
ENSDARG00000003244,261,233.1,211,357,290,287
ENSDARG00000003250,130,183,159,195,195,167
ENSDARG00000003251,201,231,172,319,150,234
ENSDARG00000003257,307,367,296,417,328,385
ENSDARG00000003259,211,202,157,257,263,223
ENSDARG00000003269,1587,1994,1441,2102,1630,1826
ENSDARG00000003270,367,420,350,497,433,435
ENSDARG00000003281,1427,1429,1208,2028,2014,1672
ENSDARG00000003287,582,546,499,757,755,625
ENSDARG00000003290,44,121,57,98,33,66
ENSDARG00000003293,497,668,491,770,467,639
ENSDARG00000003303,8,9,6,3,7,10
ENSDARG00000003307,579,760,568,808,635,824
ENSDARG00000003308,1726,2048,1565,2347,1937,2050
ENSDARG00000003311,1328,1456,992,1716,1164,1507
ENSDARG00000003313,213.59,189.29,169.18,304.33,336.34,234.86
ENSDARG00000003320,626,976,666,1011,639,840
ENSDARG00000003326,103,150,113,186,142,115
ENSDARG00000003328,358,399,249,439,355,443
